sample_index,true_class,predicted_class,confidence_%,true_class_prob_%,margin_%
14,Walk,Jog,99.6393,0.3605,99.2788
46,Walk,Jog,99.4507,0.5447,98.9060
97,Stand,Jog,99.3108,0.6869,98.6239
160,Walk,Jog,97.4365,2.5521,94.8844
232,Stand,Jog,97.1406,2.8574,94.2832
213,Stand,Jog,97.0496,2.9492,94.1004
165,Stand,Jog,96.1690,3.8272,92.3418
128,Stand,Jog,95.7396,4.2307,91.5089
120,Jog,Walk,93.7416,5.5720,88.1697
50,Walk,Jog,87.1402,12.8473,74.2929
25,Stand,Walk,85.2015,1.5519,83.6496
178,Jog,Walk,84.6730,10.4212,74.2518
2,Stand,Walk,83.6088,16.3219,67.2870
93,Stand,Jog,80.2517,19.6905,60.5612
56,Walk,Jog,80.0039,19.9940,60.0099
107,Stand,Jog,78.8130,21.1383,57.6748
95,Jog,Walk,77.5778,22.3465,55.2313
155,Stand,Jog,69.1351,30.8037,38.3313
223,Walk,Stand,62.3433,11.5530,50.7903
207,Jog,Stand,50.7675,49.2118,1.5557
