sample_index,true_class,predicted_class,confidence_%,true_class_prob_%,margin_%
46,Walk,Jog,99.9997,0.0002,99.9995
14,Walk,Jog,99.6814,0.2318,99.4496
50,Walk,Jog,99.6469,0.3482,99.2988
120,Jog,Walk,98.2238,0.9238,97.2999
223,Walk,Jog,95.3599,1.1713,94.1886
25,Stand,Walk,94.9095,4.2412,90.6682
67,Jog,Stand,94.2300,1.5179,92.7121
95,Jog,Walk,87.9997,10.7571,77.2425
238,Jog,Stand,76.0568,22.5373,53.5196
213,Stand,Jog,74.5834,25.4132,49.1702
56,Walk,Jog,73.0427,26.8644,46.1783
165,Stand,Jog,60.6769,39.2202,21.4567
160,Walk,Jog,56.1526,43.8239,12.3287
107,Stand,Jog,54.6211,45.1973,9.4238
193,Jog,Walk,52.8024,44.2620,8.5404
6,Jog,Stand,50.8097,48.8957,1.9140
