sample_index,true_class,predicted_class,confidence_%,true_class_prob_%,margin_%
835,stand,quasi,100.0000,0.0000,100.0000
1303,stand,jog,100.0000,0.0000,100.0000
1289,stand,quasi,100.0000,0.0000,100.0000
588,stand,quasi,100.0000,0.0000,100.0000
361,stand,step_acsent,100.0000,0.0000,99.9999
1178,stand,jog,100.0000,0.0000,99.9999
235,stand,stair_acsent,99.9997,0.0003,99.9993
540,stand,quasi,99.9995,0.0004,99.9991
252,stand,quasi,99.9994,0.0006,99.9988
212,stand,step_acsent,99.9993,0.0007,99.9986
1324,stand,walk,99.9993,0.0004,99.9989
700,stand,jog,99.9992,0.0006,99.9987
1671,stand,quasi,99.9987,0.0013,99.9975
1411,stand,step_decsent,99.9984,0.0015,99.9969
154,stand,jog,99.9969,0.0027,99.9942
1327,stand,quasi,99.9954,0.0040,99.9913
224,jog,step_acsent,99.9951,0.0004,99.9947
926,stand,step_acsent,99.9941,0.0053,99.9888
1350,walk,stand,99.9917,0.0013,99.9905
734,stand,jog,99.9892,0.0103,99.9789
