sample_index,true_class,predicted_class,confidence_%,true_class_prob_%,margin_%
163,stand,walk,100.0000,0.0000,100.0000
139,walk,stand,100.0000,0.0000,100.0000
188,stand,walk,100.0000,0.0000,99.9999
298,stand,quasi,99.9994,0.0006,99.9988
130,step_acsent,stand,99.9988,0.0000,99.9988
183,jog,stand,99.9986,0.0002,99.9984
244,walk,stand,99.9985,0.0002,99.9983
339,stand,stair_acsent,99.9950,0.0014,99.9936
423,stand,walk,99.9882,0.0097,99.9786
232,stand,jog,99.9765,0.0231,99.9534
288,quasi,stand,99.9742,0.0258,99.9485
264,stand,walk,99.9655,0.0286,99.9369
402,jog,walk,99.9528,0.0020,99.9508
35,jog,stand,99.9239,0.0002,99.9237
368,stand,walk,99.8714,0.0000,99.8713
133,jog,walk,99.8519,0.1467,99.7051
266,stand,walk,99.7930,0.2068,99.5862
337,step_acsent,quasi,99.7866,0.2134,99.5731
391,quasi,walk,99.6970,0.3029,99.3941
467,jog,walk,99.6493,0.3506,99.2988
