sample_index,true_class,predicted_class,confidence_%,true_class_prob_%,margin_%
46,Walk,Jog,99.9954,0.0040,99.9914
14,Walk,Jog,99.5413,0.3661,99.1752
120,Jog,Walk,97.8848,2.0771,95.8078
50,Walk,Jog,96.8034,3.1616,93.6418
161,Jog,Walk,91.6854,7.5200,84.1654
223,Walk,Jog,90.4161,8.4101,82.0059
112,Walk,Jog,83.6926,15.7158,67.9768
86,Walk,Jog,83.5477,8.0990,75.4487
25,Stand,Walk,83.2900,4.6195,78.6705
178,Jog,Walk,80.8778,15.8128,65.0650
95,Jog,Walk,71.2584,28.2025,43.0559
93,Stand,Jog,69.8845,29.8203,40.0642
108,Jog,Stand,68.6433,30.8118,37.8315
160,Walk,Jog,57.6484,42.3160,15.3324
56,Walk,Jog,56.8428,42.8136,14.0292
67,Jog,Stand,56.2410,24.0195,32.2215
200,Jog,Walk,55.9787,38.1859,17.7929
