sample_index,true_class,predicted_class,confidence_%,true_class_prob_%,margin_%
106,stand,stair_acsent,99.9852,0.0144,99.9708
1464,stand,quasi,99.9795,0.0183,99.9613
913,stand,step_decsent,99.9526,0.0472,99.9055
1147,stand,jog,99.9491,0.0492,99.8999
585,stand,step_acsent,99.9382,0.0214,99.9168
1198,step_decsent,walk,99.8453,0.0057,99.8396
1105,stand,walk,99.7790,0.2179,99.5612
1770,stand,step_acsent,99.7779,0.2162,99.5617
469,stand,step_acsent,99.7679,0.2302,99.5376
1651,stand,jog,99.7426,0.2458,99.4967
1299,stand,step_acsent,99.6928,0.2920,99.4008
1002,walk,stand,99.6521,0.3452,99.3069
90,stand,jog,99.6510,0.3319,99.3190
1891,stand,quasi,99.6080,0.3526,99.2554
584,stand,step_decsent,99.5981,0.3913,99.2068
612,stand,walk,99.5169,0.4512,99.0657
1833,stand,step_decsent,99.4766,0.5222,98.9544
783,stand,step_acsent,99.4705,0.5189,98.9516
169,stand,quasi,99.2303,0.7134,98.5169
1686,walk,jog,99.1275,0.8454,98.2821
