sample_index,true_class,predicted_class,confidence_%,true_class_prob_%,margin_%
1116,stair_acsent,stair_decsent,100.0000,0.0000,100.0000
1292,stand,quasi,99.9999,0.0001,99.9998
745,stand,quasi,99.9999,0.0001,99.9997
1461,stair_acsent,stand,99.9998,0.0000,99.9998
584,stand,step_decsent,99.9995,0.0005,99.9989
1173,walk,stand,99.9980,0.0020,99.9960
1240,stand,step_acsent,99.9977,0.0023,99.9954
626,stand,step_acsent,99.9964,0.0037,99.9927
1791,stand,quasi,99.9958,0.0041,99.9917
409,stand,step_acsent,99.9955,0.0045,99.9909
1870,stair_acsent,stand,99.9937,0.0001,99.9936
258,jog,walk,99.9910,0.0002,99.9909
1540,quasi,stand,99.9909,0.0001,99.9908
771,stand,step_acsent,99.9851,0.0149,99.9701
1390,jog,walk,99.9818,0.0000,99.9818
1344,stand,quasi,99.9764,0.0073,99.9691
559,walk,stand,99.9456,0.0543,99.8913
72,stand,step_acsent,99.8931,0.1067,99.7864
1104,jog,walk,99.8709,0.0851,99.7858
1101,stand,step_acsent,99.8591,0.1372,99.7219
