sample_index,true_class,predicted_class,confidence_%,true_class_prob_%,margin_%
213,Stand,Jog,99.9772,0.0185,99.9587
112,Walk,Jog,99.9627,0.0333,99.9294
232,Stand,Jog,99.9491,0.0414,99.9077
12,Walk,Stand,99.9296,0.0704,99.8593
97,Stand,Jog,99.8797,0.1138,99.7659
14,Walk,Jog,99.4553,0.5439,98.9113
165,Stand,Jog,99.1721,0.8191,98.3530
46,Walk,Jog,98.5444,1.4438,97.1006
160,Walk,Jog,97.3147,2.6814,94.6333
93,Stand,Jog,97.2805,2.7119,94.5686
48,Walk,Jog,96.0918,1.6916,94.4002
186,Walk,Jog,95.6310,4.3431,91.2879
56,Walk,Jog,94.6578,5.3316,89.3262
106,Walk,Jog,94.5957,5.3916,89.2040
33,Walk,Jog,94.1846,5.2759,88.9087
86,Walk,Jog,88.8213,2.1067,86.7146
122,Walk,Jog,86.8521,13.1032,73.7490
128,Stand,Jog,85.9581,13.9572,72.0009
182,Walk,Jog,82.4282,16.2094,66.2187
57,Walk,Jog,75.6435,24.3229,51.3206
