sample_index,true_class,predicted_class,confidence_%,true_class_prob_%,margin_%
46,Walk,Jog,100.0000,0.0000,100.0000
50,Walk,Jog,99.8192,0.1808,99.6384
120,Jog,Walk,98.1964,1.7887,96.4077
14,Walk,Jog,95.7399,4.2201,91.5198
223,Walk,Jog,93.3046,0.0712,93.2335
213,Stand,Jog,92.5224,7.4075,85.1149
93,Stand,Jog,88.2279,7.5836,80.6444
206,Jog,Stand,83.2037,16.7903,66.4134
86,Walk,Jog,70.7822,28.7995,41.9827
160,Walk,Jog,65.9254,34.0746,31.8507
62,Walk,Jog,65.4541,20.2140,45.2401
178,Jog,Stand,64.4581,2.6874,61.7707
193,Jog,Walk,60.6358,39.3597,21.2761
128,Stand,Walk,57.6338,28.9292,28.7046
25,Stand,Walk,56.6369,0.0894,56.5474
56,Walk,Jog,55.7986,44.1984,11.6002
165,Stand,Jog,53.5711,46.2278,7.3433
48,Walk,Jog,44.3999,29.7401,14.6598
200,Jog,Stand,43.6867,30.7687,12.9180
