sample_index,true_class,predicted_class,confidence_%,true_class_prob_%,margin_%
323,stand,jog,100.0000,0.0000,100.0000
355,stand,jog,100.0000,0.0000,100.0000
815,step_decsent,stand,99.9996,0.0000,99.9996
911,walk,stand,99.9994,0.0006,99.9989
555,walk,stand,99.9983,0.0017,99.9966
134,jog,walk,99.9977,0.0023,99.9954
307,walk,stand,99.9963,0.0037,99.9925
226,walk,stand,99.9953,0.0047,99.9905
22,step_acsent,stand,99.9938,0.0038,99.9900
436,step_decsent,stand,99.9892,0.0010,99.9882
666,stand,step_acsent,99.9684,0.0314,99.9370
395,stand,jog,99.9495,0.0505,99.8990
158,stand,quasi,99.7969,0.2031,99.5938
909,jog,walk,99.7968,0.0000,99.7968
874,stand,walk,99.5991,0.4009,99.1982
161,step_acsent,quasi,99.5629,0.0142,99.5488
953,stand,walk,99.4371,0.5626,98.8745
218,stand,quasi,99.2838,0.7124,98.5714
294,stand,walk,99.0024,0.9973,98.0052
614,jog,walk,98.5233,1.4766,97.0467
