sample_index,true_class,predicted_class,confidence_%,true_class_prob_%,margin_%
1289,stand,quasi,100.0000,0.0000,100.0000
1303,stand,jog,100.0000,0.0000,100.0000
252,stand,quasi,99.9999,0.0001,99.9999
235,stand,stair_acsent,99.9999,0.0001,99.9998
588,stand,quasi,99.9998,0.0002,99.9996
926,stand,step_acsent,99.9998,0.0002,99.9996
835,stand,quasi,99.9996,0.0004,99.9992
1324,stand,walk,99.9993,0.0006,99.9987
1687,quasi,stand,99.9961,0.0039,99.9922
212,stand,step_acsent,99.9957,0.0044,99.9913
1201,jog,stand,99.9926,0.0023,99.9903
1742,walk,stand,99.9913,0.0059,99.9854
1431,stand,step_decsent,99.9868,0.0017,99.9850
1716,stand,walk,99.9801,0.0199,99.9603
405,quasi,stand,99.9760,0.0240,99.9520
361,stand,step_acsent,99.9658,0.0339,99.9319
540,stand,quasi,99.9603,0.0397,99.9206
543,stand,step_acsent,99.9564,0.0435,99.9129
390,jog,walk,99.9563,0.0302,99.9261
1591,stand,step_acsent,99.9563,0.0149,99.9414
