sample_index,true_class,predicted_class,confidence_%,true_class_prob_%,margin_%
610,step_acsent,step_decsent,99.9847,0.0132,99.9715
938,step_acsent,stair_decsent,99.9767,0.0025,99.9742
416,step_acsent,step_decsent,99.9466,0.0533,99.8933
92,jog,stair_decsent,99.9091,0.0494,99.8598
210,stand,walk,99.7290,0.1670,99.5620
633,stand,step_decsent,99.7139,0.0192,99.6948
249,stand,step_decsent,99.5652,0.4041,99.1611
812,walk,jog,99.5537,0.3029,99.2509
37,stand,step_decsent,99.5104,0.2086,99.3018
401,jog,step_decsent,99.3449,0.0134,99.3315
648,stand,jog,99.3388,0.5670,98.7718
383,walk,stand,99.0408,0.7669,98.2739
72,stand,walk,99.0384,0.9368,98.1016
218,stand,walk,99.0362,0.8176,98.2186
725,stand,step_decsent,98.9558,0.9272,98.0286
116,jog,stand,98.8887,0.6257,98.2630
796,stand,jog,98.7526,1.1773,97.5753
873,stand,jog,98.7184,1.2730,97.4455
28,quasi,stand,98.6568,0.0095,98.6472
335,jog,stand,98.6169,0.6369,97.9800
