sample_index,true_class,predicted_class,confidence_%,true_class_prob_%,margin_%
14,Walk,Jog,99.8640,0.1272,99.7368
120,Jog,Walk,99.1122,0.5602,98.5519
46,Walk,Jog,96.6578,3.1731,93.4848
232,Stand,Jog,95.2616,4.5080,90.7536
56,Walk,Jog,92.6194,7.2470,85.3724
2,Stand,Walk,92.5828,7.3306,85.2522
97,Stand,Jog,90.1894,8.8383,81.3511
178,Jog,Walk,87.5013,11.3754,76.1260
213,Stand,Jog,85.0211,13.9900,71.0312
206,Jog,Walk,81.5472,10.3429,71.2043
107,Stand,Jog,81.4082,17.5045,63.9038
165,Stand,Jog,79.9431,17.5871,62.3560
128,Stand,Jog,79.7378,18.6833,61.0546
155,Stand,Jog,79.5363,19.2950,60.2414
70,Stand,Jog,79.2350,14.5954,64.6396
112,Walk,Jog,75.2584,23.9551,51.3033
160,Walk,Jog,74.0846,25.5885,48.4962
95,Jog,Walk,70.0582,29.2733,40.7848
223,Walk,Jog,59.6284,13.4061,46.2223
6,Jog,Stand,55.8317,41.1640,14.6677
