sample_index,true_class,predicted_class,confidence_%,true_class_prob_%,margin_%
0,Walk,Jog,59.0647,23.6172,35.4474
1,Stand,Jog,59.0647,17.3181,41.7465
2,Stand,Jog,59.0647,17.3181,41.7465
4,Walk,Jog,59.0647,23.6172,35.4474
8,Stand,Jog,59.0647,17.3181,41.7465
9,Stand,Jog,59.0647,17.3181,41.7465
10,Walk,Jog,59.0647,23.6172,35.4474
12,Walk,Jog,59.0647,23.6172,35.4474
14,Walk,Jog,59.0647,23.6172,35.4474
16,Stand,Jog,59.0647,17.3181,41.7465
21,Walk,Jog,59.0647,23.6172,35.4474
23,Walk,Jog,59.0647,23.6172,35.4474
25,Stand,Jog,59.0647,17.3181,41.7465
27,Walk,Jog,59.0647,23.6172,35.4474
28,Walk,Jog,59.0647,23.6172,35.4474
29,Walk,Jog,59.0647,23.6172,35.4474
30,Stand,Jog,59.0647,17.3181,41.7465
31,Stand,Jog,59.0647,17.3181,41.7465
33,Walk,Jog,59.0647,23.6172,35.4474
36,Stand,Jog,59.0647,17.3181,41.7465
