sample_index,true_class,predicted_class,confidence_%,true_class_prob_%,margin_%
1116,stair_acsent,stair_decsent,100.0000,0.0000,100.0000
745,stand,quasi,100.0000,0.0000,100.0000
1173,walk,stand,100.0000,0.0000,100.0000
1292,stand,quasi,100.0000,0.0000,99.9999
1031,jog,step_acsent,100.0000,0.0000,100.0000
523,stand,step_acsent,99.9999,0.0001,99.9997
446,walk,stand,99.9998,0.0001,99.9997
1760,walk,stand,99.9948,0.0042,99.9906
1461,stair_acsent,stand,99.9940,0.0000,99.9940
1446,jog,stand,99.9922,0.0009,99.9913
306,stand,step_acsent,99.9876,0.0023,99.9853
224,stand,jog,99.9875,0.0124,99.9751
584,stand,step_decsent,99.9791,0.0209,99.9583
626,stand,step_acsent,99.9714,0.0286,99.9428
169,stand,quasi,99.9583,0.0416,99.9167
1677,jog,stand,99.9579,0.0361,99.9218
1181,stand,step_decsent,99.9458,0.0280,99.9178
1248,walk,stand,99.9309,0.0691,99.8619
1240,stand,step_acsent,99.9189,0.0811,99.8378
1429,stair_decsent,stand,99.9085,0.0403,99.8682
