sample_index,true_class,predicted_class,confidence_%,true_class_prob_%,margin_%
14,Walk,Jog,97.7106,2.2763,95.4343
46,Walk,Jog,97.6138,2.3519,95.2619
120,Jog,Walk,97.1132,2.6694,94.4438
25,Stand,Walk,93.5475,2.4094,91.1381
97,Stand,Jog,93.0665,6.8099,86.2566
206,Jog,Walk,93.0470,3.2591,89.7879
227,Jog,Walk,91.1637,6.3000,84.8637
115,Jog,Walk,87.3317,9.3851,77.9465
56,Walk,Jog,86.1854,13.7576,72.4278
165,Stand,Jog,82.0085,17.5372,64.4713
95,Jog,Walk,80.2901,19.5817,60.7084
232,Stand,Jog,79.3403,20.5723,58.7680
107,Stand,Jog,77.6458,21.4449,56.2009
160,Walk,Jog,77.4003,22.5726,54.8277
178,Jog,Walk,76.6165,22.5986,54.0178
50,Walk,Jog,74.5782,25.3359,49.2423
213,Stand,Jog,73.1782,26.7319,46.4463
2,Stand,Walk,70.5840,29.4159,41.1681
112,Walk,Jog,68.7364,29.2968,39.4396
224,Jog,Walk,68.3306,19.5060,48.8246
