sample_index,true_class,predicted_class,confidence_%,true_class_prob_%,margin_%
112,Walk,Jog,99.6406,0.1288,99.5117
14,Walk,Jog,98.8148,1.1849,97.6299
46,Walk,Jog,98.4702,1.5220,96.9482
128,Stand,Jog,95.9106,4.0890,91.8216
56,Walk,Jog,94.2095,5.7894,88.4201
232,Stand,Jog,93.6606,6.3390,87.3215
120,Jog,Walk,92.4481,6.8461,85.6021
48,Walk,Jog,91.9158,7.6238,84.2919
50,Walk,Jog,89.4100,10.5715,78.8385
160,Walk,Jog,86.9132,13.0794,73.8338
213,Stand,Jog,82.0952,17.9039,64.1914
223,Walk,Jog,81.6177,1.1899,80.4278
6,Jog,Stand,81.3980,18.6000,62.7980
12,Walk,Stand,78.6355,21.3645,57.2710
95,Jog,Walk,77.6287,22.2658,55.3629
157,Jog,Stand,77.0329,22.9671,54.0658
238,Jog,Stand,76.8650,23.1290,53.7360
25,Stand,Walk,72.0200,3.2549,68.7651
178,Jog,Walk,65.4431,29.5248,35.9183
93,Stand,Jog,64.7997,35.1991,29.6005
