sample_index,true_class,predicted_class,confidence_%,true_class_prob_%,margin_%
14,Walk,Jog,99.5625,0.4368,99.1257
46,Walk,Jog,98.8569,1.1263,97.7306
56,Walk,Jog,97.8719,2.1253,95.7466
120,Jog,Walk,97.4336,2.2339,95.1997
232,Stand,Jog,97.2214,2.4860,94.7355
128,Stand,Jog,96.4737,3.0176,93.4561
160,Walk,Jog,94.0214,5.9758,88.0456
97,Stand,Jog,91.7082,7.4755,84.2326
155,Stand,Jog,90.6180,8.7703,81.8477
2,Stand,Walk,90.1892,9.1874,81.0018
50,Walk,Jog,85.7425,14.1805,71.5620
107,Stand,Jog,81.3511,17.8039,63.5472
95,Jog,Walk,81.0100,18.9462,62.0638
93,Stand,Jog,78.5905,20.0375,58.5530
112,Walk,Jog,77.4512,22.0749,55.3763
223,Walk,Jog,63.7417,10.0776,53.6642
213,Stand,Jog,61.0104,37.8789,23.1315
86,Walk,Jog,58.9745,22.4635,36.5110
25,Stand,Walk,58.2411,2.4679,55.7732
