sample_index,true_class,predicted_class,confidence_%,true_class_prob_%,margin_%
46,Walk,Jog,97.6033,2.3854,95.2180
14,Walk,Jog,97.5503,2.4420,95.1082
120,Jog,Walk,95.3241,4.4512,90.8729
97,Stand,Jog,93.9776,6.0110,87.9666
95,Jog,Walk,89.4863,10.3605,79.1258
165,Stand,Jog,87.5081,12.4739,75.0342
25,Stand,Walk,86.3877,7.1280,79.2598
160,Walk,Jog,85.7986,14.1933,71.6052
50,Walk,Jog,85.4821,14.4983,70.9839
56,Walk,Jog,84.1319,15.8477,68.2843
213,Stand,Jog,83.6430,16.3532,67.2898
232,Stand,Jog,80.5264,19.4700,61.0564
107,Stand,Jog,78.9003,21.0979,57.8025
6,Jog,Stand,77.9860,21.9598,56.0261
115,Jog,Walk,74.7499,18.6575,56.0924
112,Walk,Jog,73.5654,22.7775,50.7879
128,Stand,Jog,72.0618,27.9222,44.1396
178,Jog,Walk,71.3674,26.4704,44.8970
222,Jog,Stand,65.1739,34.8086,30.3653
100,Jog,Stand,64.5678,35.4022,29.1657
