sample_index,true_class,predicted_class,confidence_%,true_class_prob_%,margin_%
120,walk,stand,99.9981,0.0010,99.9971
46,stand,walk,99.9899,0.0030,99.9869
25,jog,stand,99.9663,0.0318,99.9345
14,stand,walk,99.8674,0.1042,99.7632
160,stand,walk,98.6251,1.3716,97.2535
50,stand,walk,97.7818,2.1414,95.6404
95,walk,stand,97.3453,2.6137,94.7316
56,stand,walk,96.5372,3.4015,93.1357
112,stand,walk,90.5486,9.4082,81.1403
128,jog,walk,87.5235,10.6146,76.9089
178,walk,stand,84.2227,0.1472,84.0755
193,walk,stand,83.4210,16.2438,67.1772
227,walk,stand,83.3349,16.5801,66.7548
2,jog,walk,64.4566,32.2164,32.2403
117,jog,walk,60.5546,36.6875,23.8671
223,stand,jog,48.2477,6.3898,41.8579
