sample_index,true_class,predicted_class,confidence_%,true_class_prob_%,margin_%
175,step_decsent,step_acsent,99.9995,0.0005,99.9990
633,stand,step_decsent,99.9886,0.0084,99.9802
587,step_acsent,stair_acsent,99.8739,0.0407,99.8332
873,stand,jog,99.8728,0.0595,99.8133
468,step_decsent,step_acsent,99.8297,0.0000,99.8297
725,stand,step_decsent,99.7305,0.2686,99.4619
345,quasi,step_acsent,99.7070,0.2917,99.4154
754,stand,step_decsent,99.6398,0.3595,99.2803
648,stand,jog,99.5265,0.4692,99.0573
415,quasi,walk,99.3776,0.6031,98.7745
57,stand,walk,99.3637,0.6358,98.7279
317,stand,step_acsent,99.1955,0.0677,99.1278
745,stand,walk,99.0935,0.9045,98.1890
249,stand,step_decsent,98.7766,1.2220,97.5546
118,stand,stair_decsent,98.4532,0.7235,97.7297
297,jog,step_decsent,98.3999,0.3367,98.0633
381,stand,jog,98.0562,1.9395,96.1167
37,stand,step_decsent,98.0332,1.9146,96.1186
938,step_acsent,stair_decsent,97.9288,0.9630,96.9658
812,walk,jog,97.8314,0.2539,97.5775
