sample_index,true_class,predicted_class,confidence_%,true_class_prob_%,margin_%
249,stand,step_decsent,99.9971,0.0028,99.9943
633,stand,step_decsent,99.9971,0.0016,99.9955
938,step_acsent,stair_decsent,99.9818,0.0001,99.9817
648,stand,jog,99.9567,0.0373,99.9194
725,stand,step_decsent,99.9463,0.0500,99.8963
37,stand,step_decsent,99.9168,0.0435,99.8733
29,stand,quasi,99.8427,0.1567,99.6860
92,jog,stair_decsent,99.7577,0.0037,99.7540
754,stand,step_decsent,99.7365,0.2480,99.4885
598,stand,jog,99.3406,0.6081,98.7324
48,stand,jog,97.5563,2.3287,95.2276
710,jog,walk,96.8330,2.6459,94.1871
231,jog,stair_decsent,96.4538,3.2240,93.2298
873,stand,jog,95.9599,3.8358,92.1241
28,quasi,stand,95.7384,0.1691,95.5694
175,step_decsent,step_acsent,95.4765,3.5055,91.9710
468,step_decsent,step_acsent,95.3250,0.8350,94.4900
210,stand,walk,94.6779,4.0896,90.5883
297,jog,step_decsent,93.5377,2.3422,91.1955
546,stand,stair_decsent,93.4281,5.5219,87.9062
