sample_index,true_class,predicted_class,confidence_%,true_class_prob_%,margin_%
120,walk,stand,99.9980,0.0002,99.9979
46,stand,walk,99.9770,0.0107,99.9662
14,stand,walk,99.9703,0.0241,99.9462
25,jog,stand,99.9598,0.0364,99.9234
193,walk,stand,98.8589,1.1311,97.7278
112,stand,walk,96.4138,3.5814,92.8325
223,stand,walk,92.2906,6.1557,86.1349
95,walk,stand,92.2614,7.6815,84.5799
50,stand,walk,88.2129,11.2614,76.9516
178,walk,stand,87.4843,0.2325,87.2518
160,stand,walk,82.3941,17.5948,64.7994
93,jog,walk,80.7235,19.1257,61.5978
128,jog,walk,75.1925,22.3085,52.8839
117,jog,walk,66.2971,33.1421,33.1549
86,stand,walk,58.6021,38.9996,19.6025
56,stand,walk,58.2115,41.6883,16.5232
181,jog,walk,55.6154,43.4426,12.1728
