sample_index,true_class,predicted_class,confidence_%,true_class_prob_%,margin_%
633,stand,step_decsent,99.9997,0.0003,99.9993
249,stand,step_decsent,99.9992,0.0008,99.9984
648,stand,jog,99.9953,0.0047,99.9905
754,stand,step_decsent,99.9783,0.0217,99.9566
29,stand,quasi,99.9776,0.0223,99.9552
933,step_decsent,quasi,99.9752,0.0000,99.9752
155,stand,quasi,99.9434,0.0564,99.8871
725,stand,step_decsent,99.9398,0.0602,99.8796
745,stand,walk,99.8899,0.1101,99.7797
426,stand,walk,99.8317,0.1676,99.6642
593,step_decsent,stand,99.6955,0.0001,99.6955
692,stand,walk,99.6636,0.3107,99.3530
37,stand,step_decsent,99.5902,0.3979,99.1923
266,jog,walk,99.3985,0.5583,98.8402
250,stand,step_decsent,99.2494,0.4369,98.8125
695,jog,walk,99.1449,0.0000,99.1449
873,stand,jog,99.0389,0.9006,98.1383
805,stand,walk,98.8629,0.5296,98.3333
796,stand,jog,98.7440,1.2556,97.4884
515,quasi,jog,98.6215,0.0001,98.6213
