sample_index,true_class,predicted_class,confidence_%,true_class_prob_%,margin_%
235,stand,stair_acsent,100.0000,0.0000,100.0000
540,stand,quasi,100.0000,0.0000,100.0000
835,stand,quasi,100.0000,0.0000,100.0000
361,stand,step_acsent,100.0000,0.0000,100.0000
1303,stand,jog,100.0000,0.0000,100.0000
1289,stand,quasi,100.0000,0.0000,100.0000
252,stand,quasi,99.9999,0.0000,99.9999
1178,stand,jog,99.9998,0.0001,99.9997
700,stand,jog,99.9994,0.0006,99.9988
1817,stand,quasi,99.9994,0.0003,99.9990
543,stand,step_acsent,99.9994,0.0005,99.9988
588,stand,quasi,99.9992,0.0008,99.9984
397,stand,jog,99.9987,0.0012,99.9975
1394,walk,stand,99.9980,0.0016,99.9964
1327,stand,quasi,99.9979,0.0013,99.9966
368,stand,step_acsent,99.9977,0.0022,99.9955
926,stand,step_acsent,99.9962,0.0038,99.9924
298,walk,stand,99.9953,0.0047,99.9906
154,stand,jog,99.9911,0.0089,99.9822
978,stair_decsent,step_decsent,99.9893,0.0074,99.9818
