sample_index,true_class,predicted_class,confidence_%,true_class_prob_%,margin_%
745,stand,quasi,100.0000,0.0000,100.0000
1433,step_decsent,stand,100.0000,0.0000,100.0000
1540,quasi,stand,99.9999,0.0001,99.9999
265,step_acsent,stand,99.9998,0.0001,99.9997
1116,stair_acsent,stair_decsent,99.9995,0.0002,99.9993
559,walk,stand,99.9990,0.0010,99.9980
1760,walk,stand,99.9986,0.0013,99.9973
1791,stand,quasi,99.9985,0.0015,99.9971
1240,stand,step_acsent,99.9970,0.0030,99.9940
1292,stand,quasi,99.9953,0.0047,99.9907
1830,jog,stand,99.9946,0.0044,99.9902
959,stand,quasi,99.9899,0.0101,99.9799
1337,stand,step_acsent,99.9897,0.0103,99.9795
906,jog,stand,99.9872,0.0123,99.9749
499,quasi,stand,99.9835,0.0165,99.9669
224,stand,jog,99.9805,0.0195,99.9609
523,stand,step_acsent,99.9765,0.0226,99.9539
965,step_decsent,stand,99.9541,0.0346,99.9195
1870,stair_acsent,stand,99.9501,0.0000,99.9501
402,walk,stand,99.9498,0.0502,99.8996
