sample_index,true_class,predicted_class,confidence_%,true_class_prob_%,margin_%
633,stand,step_decsent,99.9953,0.0005,99.9948
938,step_acsent,stair_decsent,99.9932,0.0001,99.9932
249,stand,step_decsent,99.9883,0.0114,99.9769
92,jog,stair_decsent,99.9599,0.0028,99.9571
37,stand,step_decsent,99.9476,0.0495,99.8981
873,stand,jog,99.9247,0.0704,99.8543
29,stand,quasi,99.7596,0.2303,99.5293
754,stand,step_decsent,99.7366,0.2615,99.4751
648,stand,jog,99.5248,0.4679,99.0569
231,jog,stair_decsent,98.7554,1.2240,97.5314
468,step_decsent,step_acsent,98.5004,0.7438,97.7565
725,stand,step_decsent,98.2838,1.6818,96.6020
70,stand,stair_acsent,97.9168,0.9011,97.0157
948,stand,quasi,97.3688,1.9129,95.4558
218,stand,walk,97.0731,2.8921,94.1810
598,stand,jog,97.0418,2.8845,94.1573
692,stand,walk,96.5684,2.5050,94.0634
381,stand,jog,96.0309,3.7390,92.2919
210,stand,walk,95.9405,3.0920,92.8485
546,stand,stair_decsent,95.8008,3.3487,92.4522
