sample_index,true_class,predicted_class,confidence_%,true_class_prob_%,margin_%
1464,stand,quasi,100.0000,0.0000,100.0000
501,quasi,stair_acsent,99.9998,0.0000,99.9998
584,stand,step_decsent,99.9895,0.0104,99.9791
1211,stand,stair_acsent,99.9428,0.0309,99.9118
260,quasi,stair_acsent,99.9425,0.0000,99.9425
913,stand,step_decsent,99.9293,0.0429,99.8864
469,stand,step_acsent,99.9239,0.0754,99.8485
1105,stand,walk,99.9224,0.0774,99.8450
783,stand,step_acsent,99.8209,0.1331,99.6878
1647,jog,walk,99.7786,0.2185,99.5600
1833,stand,step_decsent,99.5778,0.0671,99.5107
1878,stair_decsent,step_decsent,99.3730,0.0514,99.3216
1198,step_decsent,stand,99.1714,0.0095,99.1619
422,quasi,step_decsent,99.0598,0.1508,98.9090
732,stand,jog,98.9815,1.0184,97.9631
533,stand,walk,98.6592,1.0889,97.5703
84,jog,stand,98.6211,0.3261,98.2950
242,stand,step_decsent,98.2966,1.4842,96.8124
1427,step_decsent,stair_acsent,98.2277,0.1228,98.1049
1781,stand,step_decsent,98.0969,1.1940,96.9029
