sample_index,true_class,predicted_class,confidence_%,true_class_prob_%,margin_%
745,stand,quasi,100.0000,0.0000,100.0000
1292,stand,quasi,100.0000,0.0000,100.0000
306,stand,step_acsent,99.9997,0.0001,99.9996
169,stand,quasi,99.9974,0.0026,99.9947
1173,walk,stand,99.9967,0.0031,99.9936
607,stand,jog,99.9960,0.0014,99.9946
771,stand,step_acsent,99.9957,0.0043,99.9915
523,stand,step_acsent,99.9948,0.0007,99.9942
1101,stand,step_acsent,99.9945,0.0055,99.9890
1757,walk,jog,99.9891,0.0088,99.9803
626,stand,step_acsent,99.9837,0.0163,99.9674
1392,stand,step_decsent,99.9835,0.0000,99.9835
584,stand,step_decsent,99.9831,0.0169,99.9662
92,stand,quasi,99.9670,0.0311,99.9359
1240,stand,step_acsent,99.9580,0.0420,99.9160
1408,stand,step_decsent,99.9497,0.0500,99.8997
224,stand,jog,99.9447,0.0553,99.8894
26,stand,step_decsent,99.9327,0.0506,99.8821
1841,stand,step_acsent,99.8800,0.0212,99.8588
409,stand,step_acsent,99.7795,0.2163,99.5631
