sample_index,true_class,predicted_class,confidence_%,true_class_prob_%,margin_%
14,Walk,Jog,99.7477,0.2520,99.4958
112,Walk,Jog,99.7375,0.2391,99.4984
46,Walk,Jog,99.7262,0.2676,99.4586
56,Walk,Jog,99.3141,0.6855,98.6286
232,Stand,Jog,99.0382,0.8738,98.1645
97,Stand,Jog,98.8037,0.8416,97.9621
160,Walk,Jog,98.4170,1.5827,96.8343
213,Stand,Jog,98.2090,1.6387,96.5703
165,Stand,Jog,96.8103,2.3535,94.4567
223,Walk,Jog,96.5126,0.7477,95.7649
50,Walk,Jog,94.1395,5.8352,88.3043
120,Jog,Walk,93.2010,6.6656,86.5354
93,Stand,Jog,85.6152,13.9937,71.6215
128,Stand,Jog,85.4560,13.9225,71.5336
48,Walk,Jog,85.0798,14.8593,70.2205
70,Stand,Jog,83.6011,16.2286,67.3725
155,Stand,Jog,79.9714,19.5468,60.4246
62,Walk,Jog,72.2090,20.2747,51.9343
107,Stand,Jog,70.5359,29.3017,41.2342
86,Walk,Jog,69.7611,16.2172,53.5438
