sample_index,true_class,predicted_class,confidence_%,true_class_prob_%,margin_%
175,step_decsent,step_acsent,100.0000,0.0000,100.0000
633,stand,step_decsent,99.9980,0.0019,99.9961
648,stand,jog,99.9676,0.0268,99.9408
37,stand,step_decsent,99.9632,0.0038,99.9594
725,stand,step_decsent,99.9628,0.0362,99.9266
249,stand,step_decsent,99.7676,0.2321,99.5355
754,stand,step_decsent,99.2974,0.6999,98.5975
317,stand,step_acsent,99.1520,0.0047,99.1473
873,stand,jog,99.0172,0.3252,98.6920
277,stand,step_acsent,98.7759,1.2064,97.5694
275,walk,stand,98.1907,0.0125,98.1781
210,stand,walk,98.0131,1.9433,96.0697
218,stand,walk,97.9878,1.9892,95.9986
938,step_acsent,stair_decsent,97.9534,0.2767,97.6767
72,stand,walk,97.3688,2.4341,94.9348
598,stand,jog,96.7798,1.6063,95.1736
527,quasi,walk,94.7328,3.7746,90.9583
809,quasi,step_acsent,94.6628,5.2890,89.3738
231,jog,stair_decsent,94.5873,3.0579,91.5293
606,jog,stand,93.7469,2.6404,91.1065
