sample_index,true_class,predicted_class,confidence_%,true_class_prob_%,margin_%
131,Walk,Stand,99.9240,0.0664,99.8576
81,Walk,Jog,97.8455,2.0616,95.7839
76,Walk,Jog,97.4141,2.5802,94.8339
357,Walk,Stand,97.0194,1.8942,95.1251
189,Walk,Jog,96.4924,3.5028,92.9896
324,Walk,Jog,95.5893,4.0271,91.5622
88,Walk,Jog,94.4524,5.3224,89.1300
201,Walk,Jog,92.3882,7.5784,84.8098
299,Stand,Jog,92.3131,2.9875,89.3256
246,Walk,Jog,90.9588,9.0388,81.9200
162,Walk,Jog,90.6347,9.3437,81.2910
115,Walk,Jog,89.4180,10.5496,78.8683
443,Walk,Jog,89.4178,10.5718,78.8460
449,Walk,Jog,88.8443,11.1456,77.6988
101,Walk,Jog,87.8615,11.9429,75.9186
279,Walk,Jog,85.3395,3.6133,81.7262
360,Jog,Stand,83.7126,12.7299,70.9827
183,Walk,Jog,83.1065,16.7468,66.3597
298,Walk,Jog,75.1180,4.5880,70.5300
77,Jog,Stand,74.0359,24.4577,49.5782
