sample_index,true_class,predicted_class,confidence_%,true_class_prob_%,margin_%
1464,stand,quasi,100.0000,0.0000,100.0000
501,quasi,stair_acsent,99.9995,0.0000,99.9995
584,stand,step_decsent,99.9974,0.0012,99.9962
913,stand,step_decsent,99.9840,0.0128,99.9712
260,quasi,stair_acsent,99.9749,0.0000,99.9748
1105,stand,walk,99.8277,0.1723,99.6554
106,stand,stair_acsent,99.6137,0.1442,99.4695
1891,stand,step_decsent,99.5391,0.0372,99.5020
1172,stair_acsent,step_decsent,99.5167,0.0464,99.4703
643,jog,walk,99.4345,0.0016,99.4329
533,stand,walk,99.4187,0.3035,99.1153
887,quasi,walk,99.3602,0.1559,99.2043
1219,walk,step_decsent,99.1668,0.3493,98.8176
1894,stand,stair_decsent,99.1158,0.1291,98.9867
237,stand,jog,99.1048,0.8932,98.2116
1211,stand,stair_acsent,99.0209,0.3555,98.6654
1485,stand,walk,99.0165,0.9835,98.0330
422,quasi,step_decsent,98.8462,0.8797,97.9665
242,stand,step_decsent,98.8045,1.1528,97.6517
236,quasi,stand,98.7936,1.2047,97.5890
