sample_index,true_class,predicted_class,confidence_%,true_class_prob_%,margin_%
14,Walk,Jog,99.3966,0.5305,98.8662
46,Walk,Jog,98.8297,0.6661,98.1637
67,Jog,Stand,98.1740,0.8166,97.3574
48,Walk,Jog,97.3631,1.8999,95.4632
74,Jog,Stand,94.6822,4.4009,90.2812
120,Jog,Walk,93.4471,6.4689,86.9782
50,Walk,Jog,86.8332,11.7346,75.0985
12,Walk,Stand,73.2739,26.6649,46.6090
152,Jog,Stand,71.2565,26.6819,44.5746
6,Jog,Stand,70.3282,29.0028,41.3255
223,Walk,Stand,66.3467,2.9994,63.3472
95,Jog,Walk,65.2074,29.6778,35.5296
62,Walk,Stand,65.1305,6.3121,58.8184
56,Walk,Jog,61.9340,37.8590,24.0750
207,Jog,Stand,55.5132,44.4285,11.0847
112,Walk,Jog,54.4001,34.1254,20.2747
86,Walk,Stand,53.2694,5.5700,47.6995
162,Walk,Jog,52.1130,41.4381,10.6749
100,Jog,Stand,50.8607,49.0775,1.7832
129,Jog,Stand,50.3928,48.8205,1.5723
