sample_index,true_class,predicted_class,confidence_%,true_class_prob_%,margin_%
754,stand,step_decsent,99.9427,0.0469,99.8958
725,stand,step_decsent,99.9347,0.0519,99.8828
249,stand,step_decsent,99.8285,0.1313,99.6972
37,stand,step_decsent,99.7754,0.1134,99.6621
873,stand,jog,99.7641,0.2326,99.5315
745,stand,walk,99.7538,0.2125,99.5414
57,stand,walk,99.6412,0.2638,99.3773
297,jog,step_decsent,99.5553,0.0883,99.4670
231,jog,stair_decsent,99.4518,0.2891,99.1627
456,quasi,step_acsent,98.6492,1.3423,97.3070
633,stand,step_decsent,98.4111,0.0086,98.4025
0,quasi,step_acsent,98.3616,1.6275,96.7341
648,stand,jog,98.2435,1.5683,96.6752
218,stand,walk,98.2290,1.6983,96.5308
334,stair_decsent,step_decsent,97.7156,1.2327,96.4829
468,step_decsent,step_acsent,97.3307,0.0162,97.3145
277,stand,step_acsent,97.0655,0.9087,96.1568
924,quasi,stand,96.6627,3.3023,93.3604
595,jog,walk,96.5005,3.3650,93.1355
381,stand,jog,96.1753,3.7494,92.4259
