sample_index,true_class,predicted_class,confidence_%,true_class_prob_%,margin_%
46,Walk,Jog,99.9950,0.0050,99.9900
50,Walk,Jog,99.6322,0.3662,99.2660
107,Stand,Jog,98.3319,1.6634,96.6685
128,Stand,Jog,98.1004,1.8340,96.2664
120,Jog,Walk,96.2581,3.3290,92.9291
25,Stand,Walk,92.8181,1.5685,91.2497
178,Jog,Stand,89.8225,0.3355,89.4870
200,Jog,Stand,89.0826,6.4617,82.6208
14,Walk,Jog,84.9356,13.6162,71.3194
95,Jog,Walk,84.2232,15.5800,68.6432
2,Stand,Walk,71.7333,12.7133,59.0200
223,Walk,Jog,71.5249,15.8737,55.6512
72,Jog,Walk,66.3424,23.7982,42.5443
93,Stand,Jog,65.5774,33.6293,31.9481
112,Walk,Jog,63.3655,36.4304,26.9351
86,Walk,Jog,58.3089,25.5174,32.7915
26,Jog,Walk,57.6213,42.1196,15.5017
115,Jog,Walk,46.4223,42.1138,4.3085
67,Jog,Walk,45.3824,22.1119,23.2704
