sample_index,true_class,predicted_class,confidence_%,true_class_prob_%,margin_%
584,stand,step_decsent,100.0000,0.0000,100.0000
1116,stair_acsent,stair_decsent,100.0000,0.0000,100.0000
1292,stand,quasi,100.0000,0.0000,100.0000
745,stand,quasi,100.0000,0.0000,100.0000
1408,stand,step_decsent,99.9999,0.0001,99.9997
306,stand,step_acsent,99.9998,0.0002,99.9995
1392,stand,step_decsent,99.9908,0.0000,99.9908
1791,stand,quasi,99.9775,0.0225,99.9550
1173,walk,stand,99.9770,0.0229,99.9541
1181,stand,step_decsent,99.9662,0.0003,99.9660
1636,stand,step_acsent,99.9614,0.0197,99.9417
1461,stair_acsent,stand,99.9559,0.0327,99.9232
1433,step_decsent,stand,99.9513,0.0001,99.9512
626,stand,step_acsent,99.9464,0.0537,99.8927
1104,jog,walk,99.9366,0.0039,99.9326
1101,stand,step_acsent,99.9288,0.0685,99.8603
1240,stand,step_acsent,99.9284,0.0716,99.8567
224,stand,jog,99.9224,0.0774,99.8451
570,stand,step_decsent,99.9216,0.0781,99.8435
1677,jog,stand,99.8881,0.1065,99.7816
