sample_index,true_class,predicted_class,confidence_%,true_class_prob_%,margin_%
131,Walk,Stand,99.9489,0.0295,99.9194
357,Walk,Stand,99.1797,0.5938,98.5859
81,Walk,Jog,99.0219,0.9759,98.0460
324,Walk,Jog,98.8026,1.1811,97.6215
76,Walk,Jog,97.7703,2.2291,95.5412
189,Walk,Jog,96.0394,3.9601,92.0793
299,Stand,Jog,94.9526,1.3878,93.5648
201,Walk,Jog,84.6943,15.3026,69.3917
279,Walk,Jog,81.0102,17.7742,63.2360
115,Walk,Jog,80.5649,19.4346,61.1302
443,Walk,Jog,74.7793,25.2205,49.5588
449,Walk,Jog,73.4240,26.5758,46.8482
246,Walk,Jog,71.2202,28.7795,42.4407
298,Walk,Jog,69.2665,28.8013,40.4652
88,Walk,Jog,64.2692,35.2840,28.9852
101,Walk,Jog,63.2599,36.7158,26.5442
360,Jog,Stand,62.6275,35.5501,27.0774
367,Jog,Walk,57.3106,42.6816,14.6290
120,Jog,Walk,54.7950,45.2046,9.5905
156,Walk,Jog,54.2903,45.6704,8.6199
