sample_index,true_class,predicted_class,confidence_%,true_class_prob_%,margin_%
745,stand,quasi,100.0000,0.0000,100.0000
1292,stand,quasi,100.0000,0.0000,100.0000
1116,stair_acsent,stair_decsent,100.0000,0.0000,100.0000
1392,stand,step_decsent,99.9996,0.0000,99.9995
224,stand,jog,99.9995,0.0005,99.9990
1173,walk,stand,99.9987,0.0012,99.9975
42,walk,stand,99.9981,0.0019,99.9963
1446,jog,stand,99.9977,0.0022,99.9954
584,stand,step_decsent,99.9959,0.0041,99.9919
1433,step_decsent,stand,99.9939,0.0003,99.9936
306,stand,step_acsent,99.9937,0.0006,99.9931
1500,stand,step_acsent,99.9928,0.0054,99.9875
1240,stand,step_acsent,99.9922,0.0078,99.9845
1101,stand,step_acsent,99.9893,0.0055,99.9838
906,jog,stand,99.9797,0.0106,99.9691
626,stand,step_acsent,99.9756,0.0244,99.9512
1461,stair_acsent,stand,99.9715,0.0124,99.9591
570,stand,step_decsent,99.9681,0.0319,99.9361
1408,stand,step_decsent,99.9654,0.0345,99.9309
63,stand,jog,99.9518,0.0482,99.9036
